location_id,country_code,subdivision_code
9415913d-fffa-41f9-9323-6d62e6100a31,"NL","NL-FL"
432d10d2-1a7c-4bbd-abd2-85075fb19c71,"NL","NL-GR"
a2d0d6fd-3a18-4f58-ac36-d2e56bf71a46,"GB","GB-NSM"
ab5df8c0-dfe7-4ca3-a9e4-c77f93e551a7,"NL","NL-ZH"
fdbf55b4-1b97-43a8-a096-a71d0b9d6940,"GB","GB-WLL"
d9a11093-b1a4-4c1a-9e2a-7cc951b55a32,"NL","NL-DR"
4f2c9d63-73b3-40f4-892d-136599854b87,"NL","NL-FR"
423ff765-83ac-472c-9ef7-b3a592696711,"NL","NL-UT"
5770db11-e7bf-4044-b54c-d49f69e947ec,"GB","GB-SOM"
d70aed5a-3960-44fa-9c08-f725c2b03ce8,"NL","NL-NH"
e826584c-c32b-4ca1-835f-b7d7416f2958,"NL","NL-LI"
e40a0514-03e7-4d28-b7be-38c18a5ae73c,"GB","GB-WRT"
4c8eb5ba-0140-4b48-924b-899112abe562,"NL","NL-GE"